7149,1
3923,0
8458,0
7226,0
8650,1
8086,1
9590,1
3567,0
983,1
5970,1
5219,0
2255,1
6400,1
2722,0
4170,1
7604,1
7247,1
4172,1
1697,0
5351,1
5908,0
3755,1
2499,1
9824,0
1760,1
5698,0
9256,1
4571,1
6684,0
4684,1
5756,0
1920,0
4442,1
4842,0
6246,1
7788,0
5188,0
9244,1
402,0
9398,0
7188,1
5335,1
334,0
1835,0
8293,1
8636,1
4529,1
5429,1
6391,0
2348,0
2094,1
7619,0
4743,0
547,0
4690,1
5514,0
4777,0
7237,0
9337,1
5974,1
5846,0
8006,0
8406,0
9527,1
6823,0
4255,0
3164,0
7475,1
7793,1
1356,0
4960,0
560,0
3698,1
6629,0
2136,0
915,0
3762,0
6926,0
2960,1
6027,1
6402,0
6205,0
6197,0
7080,0
8155,1
5304,1
8567,1
1992,0
1699,0
927,0
5459,1
7468,0
4717,1
6377,1
2817,1
2404,1
7165,0
7169,0
9873,1
9642,0
5073,1
2862,0
4911,0
8299,0
1997,1
6165,1
3764,1
7725,0
5527,1
6869,0
7586,0
8892,0
3748,0
5862,0
7492,1
27,0
9514,0
4537,0
3757,1
4873,1
9087,0
906,0
4928,1
9421,1
8585,1
1776,1
4941,0
5321,0
6005,1
4525,1
8437,0
9920,0
3534,0
5695,1
6190,1
5857,0
8973,1
9431,1
6171,0
2477,1
7307,1
4445,1
9583,1
45,1
4917,0
474,0
9795,0
1181,0
6018,0
8315,0
6304,0
3116,0
4881,1
2096,1
7687,0
8273,1
3864,0
9135,0
4295,1
5031,0
867,1
9566,1
4358,0
9932,1
8421,0
4988,0
1197,1
9168,1
5194,0
109,0
2438,1
3005,1
1048,1
3776,0
1572,0
1004,0
5392,1
1751,1
1311,1
9550,0
1349,0
624,1
3760,1
4159,1
2805,0
2798,0
4582,0
9830,0
8844,0
6315,1
3985,1
4784,1
4452,0
4567,0
275,0
342,1
8019,1
8879,0
1911,0
7466,0
3328,1
8142,1
9213,1
2294,1
3584,1
2334,0
8836,1
9585,1
887,1
1036,0
6457,0
4150,1
9742,1
8131,1
6058,0
7483,1
2282,0
3091,1
5174,1
6512,0
3808,0
6593,1
1677,1
4850,1
7948,0
1955,0
1670,1
3439,1
4981,1
8286,1
468,0
9205,1
407,1
4416,1
9688,1
